Rank,Release Group,Worldwide,Domestic,%,Foreign,%
260,Silent Tokyo,"$2,730,104",-,-,"$2,730,104",100%
261,Made in Italy,"$2,718,047","$101,339",3.7%,"$2,616,708",96.3%
262,Miami Bici,"$2,663,916",-,-,"$2,663,916",100%
263,The Memory Eraser,"$2,662,177",-,-,"$2,662,177",100%
264,Doi Mat Am Duong,"$2,642,944",-,-,"$2,642,944",100%
265,Kamen Rider Zero-One: Real×Time,"$2,611,150",-,-,"$2,611,150",100%
266,How to Make Out,"$2,607,444",-,-,"$2,607,444",100%
267,Small Country: An African Childhood,"$2,590,629",-,-,"$2,590,629",100%
268,Gekijôban Shirobako,"$2,588,312",-,-,"$2,588,312",100%
269,How to Train Your Dragon: The Hidden World 2020 Re-release,"$2,584,310",-,-,"$2,584,310",100%
270,Knutsen & Ludvigsen 2 - Det store dyret,"$2,561,134",-,-,"$2,561,134",100%
271,Bayi Toplantisi,"$2,560,632",-,-,"$2,560,632",100%
272,Oh! My Gran,"$2,541,300",-,-,"$2,541,300",100%
273,Sifir Bir,"$2,536,753",-,-,"$2,536,753",100%
274,The Girl with a Bracelet,"$2,535,002",-,-,"$2,535,002",100%
275,Belle fille,"$2,513,010",-,-,"$2,513,010",100%
276,Ròm,"$2,509,318",-,-,"$2,509,318",100%
277,A Friendly Tale,"$2,498,547",-,-,"$2,498,547",100%
278,Queens of the Field,"$2,476,539",-,-,"$2,476,539",100%
279,Escape from Pretoria,"$2,431,995",-,-,"$2,431,995",100%
280,The Nightmare Before Christmas 2020 Re-release,"$2,351,189","$2,286,000",97.2%,"$65,189",2.8%
281,"The Things We Say, the Things We Do","$2,335,674",-,-,"$2,335,674",100%
282,"Blue, Painful and Brittle","$2,305,766",-,-,"$2,305,766",100%
283,Coma,"$2,264,162",-,-,"$2,264,162",100%
284,The King of Staten Island,"$2,249,395",-,-,"$2,249,395",100%
285,Kishiryu Sentai Ryusoulger vs. Lupinranger vs. Patranger,"$2,242,513",-,-,"$2,242,513",100%
286,Half Brothers,"$2,241,980","$2,241,980",100%,-,-
287,Relic,"$2,241,793","$1,047,083",46.7%,"$1,194,710",53.3%
288,Bad Boy,"$2,237,552",-,-,"$2,237,552",100%
289,The High Note,"$2,213,769",-,-,"$2,213,769",100%
290,Elf 2020 Re-release,"$2,181,963","$2,003,568",91.8%,"$178,395",8.2%
291,The Outpost,"$2,140,701",-,-,"$2,140,701",100%
292,Happiest Season,"$2,110,618",-,-,"$2,110,618",100%
293,Charlatan,"$2,108,497",-,-,"$2,108,497",100%
294,"God, You're Such a Prick","$2,088,965",-,-,"$2,088,965",100%
295,Perfumes,"$2,058,848",-,-,"$2,058,848",100%
296,Looking for Magical DoReMi,"$2,044,264",-,-,"$2,044,264",100%
297,Parents d'élèves,"$2,033,629",-,-,"$2,033,629",100%
298,Chlap na strídacku,"$2,032,855",-,-,"$2,032,855",100%
299,The Magic Kids: Three Unlikely Heroes,"$2,024,139",-,-,"$2,024,139",100%
300,De Grote Slijmfilm,"$2,008,512",-,-,"$2,008,512",100%
301,Jurassic World: Fallen Kingdom 2020 Re-release,"$1,996,736",-,-,"$1,996,736",100%
302,The Day I Died: Unclosed Case,"$1,988,723",-,-,"$1,988,723",100%
